id_complex	x	y
10gs	"[3.285e+03 4.780e+02 9.150e+02 0.000e+00 0.000e+00 1.680e+02 0.000e+00
 0.000e+00 0.000e+00 8.640e+02 1.310e+02 2.400e+02 0.000e+00 0.000e+00
 4.600e+01 0.000e+00 0.000e+00 0.000e+00 8.090e+02 1.250e+02 2.330e+02
 0.000e+00 0.000e+00 4.200e+01 0.000e+00 0.000e+00 0.000e+00 4.400e+01
 9.000e+00 1.600e+01 0.000e+00 0.000e+00 3.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	6.4
184l	"[2184.    0.    0.    0.    0.    0.    0.    0.    0.  549.    0.    0.
    0.    0.    0.    0.    0.    0.  591.    0.    0.    0.    0.    0.
    0.    0.    0.   27.    0.    0.    0.    0.    0.    0.    0.    0.]"	4.72
185l	"[1800.  231.    0.    0.    0.    0.    0.    0.    0.  457.   59.    0.
    0.    0.    0.    0.    0.    0.  492.   66.    0.    0.    0.    0.
    0.    0.    0.   21.    3.    0.    0.    0.    0.    0.    0.    0.]"	3.54
186l	"[2163.    0.    0.    0.    0.    0.    0.    0.    0.  551.    0.    0.
    0.    0.    0.    0.    0.    0.  594.    0.    0.    0.    0.    0.
    0.    0.    0.   26.    0.    0.    0.    0.    0.    0.    0.    0.]"	4.85
187l	"[1785.    0.    0.    0.    0.    0.    0.    0.    0.  444.    0.    0.
    0.    0.    0.    0.    0.    0.  455.    0.    0.    0.    0.    0.
    0.    0.    0.   19.    0.    0.    0.    0.    0.    0.    0.    0.]"	3.37
188l	"[1795.    0.    0.    0.    0.    0.    0.    0.    0.  454.    0.    0.
    0.    0.    0.    0.    0.    0.  469.    0.    0.    0.    0.    0.
    0.    0.    0.   23.    0.    0.    0.    0.    0.    0.    0.    0.]"	3.33
1a1e	"[2.27e+03 2.36e+02 9.04e+02 0.00e+00 1.26e+02 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 6.67e+02 7.70e+01 2.86e+02 0.00e+00 4.10e+01 0.00e+00 0.00e+00
 0.00e+00 0.00e+00 6.49e+02 6.60e+01 2.72e+02 0.00e+00 4.00e+01 0.00e+00
 0.00e+00 0.00e+00 0.00e+00 3.50e+01 5.00e+00 1.40e+01 0.00e+00 1.00e+00
 0.00e+00 0.00e+00 0.00e+00 0.00e+00]"	6.0
1a28	"[4901.    0.  447.    0.    0.    0.    0.    0.    0. 1079.    0.   97.
    0.    0.    0.    0.    0.    0. 1074.    0.  102.    0.    0.    0.
    0.    0.    0.  130.    0.   11.    0.    0.    0.    0.    0.    0.]"	8.29
1a30	"[2.562e+03 4.780e+02 1.366e+03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 7.010e+02 1.350e+02 3.770e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.420e+02 1.390e+02 4.140e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00
 1.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	4.3
1a4r	"[1281.  833. 1261.    0.  265.    0.    0.    0.    0.  317.  214.  302.
    0.   64.    0.    0.    0.    0.  392.  251.  361.    0.   72.    0.
    0.    0.    0.   20.   14.   22.    0.    4.    0.    0.    0.    0.]"	6.66
1a4w	"[4145. 1136.  537.    0.    0.  226.    0.    0.    0. 1084.  309.  132.
    0.    0.   64.    0.    0.    0. 1244.  345.  158.    0.    0.   72.
    0.    0.    0.   90.   25.   13.    0.    0.    6.    0.    0.    0.]"	5.92
1a69	"[2084.  804. 1043.    0.    0.    0.    0.    0.    0.  602.  236.  318.
    0.    0.    0.    0.    0.    0.  597.  226.  308.    0.    0.    0.
    0.    0.    0.   57.   22.   28.    0.    0.    0.    0.    0.    0.]"	5.3
1a94	"[6.028e+03 1.478e+03 1.430e+03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.684e+03 4.110e+02 3.970e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.764e+03 4.250e+02 4.280e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.000e+00
 3.000e+00 3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.85
1a99	"[938. 467.   0.   0.   0.   0.   0.   0.   0. 215. 108.   0.   0.   0.
   0.   0.   0.   0. 272. 134.   0.   0.   0.   0.   0.   0.   0.   7.
   3.   0.   0.   0.   0.   0.   0.   0.]"	5.7
1a9m	"[4.868e+03 1.148e+03 1.079e+03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.385e+03 3.430e+02 3.070e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.379e+03 3.300e+02 3.070e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.000e+00
 3.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	6.92
1a9q	"[1070.  847.  212.    0.    0.    0.    0.    0.    0.  276.  225.   56.
    0.    0.    0.    0.    0.    0.  296.  239.   57.    0.    0.    0.
    0.    0.    0.   14.   14.    3.    0.    0.    0.    0.    0.    0.]"	6.17
1aaq	"[4.651e+03 7.990e+02 1.118e+03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.295e+03 2.260e+02 3.020e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.361e+03 2.430e+02 3.290e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.000e+00
 1.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	8.4
1add	"[2517.  925.  908.    0.    0.    0.    0.    0.    0.  670.  255.  217.
    0.    0.    0.    0.    0.    0.  665.  270.  215.    0.    0.    0.
    0.    0.    0.   47.   19.   16.    0.    0.    0.    0.    0.    0.]"	6.74
1adl	"[3598.    0.  411.    0.    0.    0.    0.    0.    0. 1022.    0.  110.
    0.    0.    0.    0.    0.    0. 1105.    0.  111.    0.    0.    0.
    0.    0.    0.   62.    0.    6.    0.    0.    0.    0.    0.    0.]"	5.36
1ado	"[4.700e+02 0.000e+00 1.067e+03 0.000e+00 1.890e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.480e+02 0.000e+00 3.220e+02 0.000e+00 5.700e+01
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.530e+02 0.000e+00 3.390e+02
 0.000e+00 5.900e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00
 0.000e+00 5.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	6.0
1afk	"[1104.  557. 1416.    0.  336.    0.    0.    0.    0.  346.  167.  470.
    0.  118.    0.    0.    0.    0.  328.  169.  408.    0.   96.    0.
    0.    0.    0.   34.   18.   23.    0.    3.    0.    0.    0.    0.]"	6.62
1afl	"[1110.  563. 1463.    0.  357.    0.    0.    0.    0.  347.  167.  469.
    0.  113.    0.    0.    0.    0.  329.  173.  422.    0.   99.    0.
    0.    0.    0.   34.   18.   30.    0.    8.    0.    0.    0.    0.]"	6.28
1ai4	"[1738.    0.  862.    0.    0.    0.    0.    0.    0.  423.    0.  213.
    0.    0.    0.    0.    0.    0.  501.    0.  249.    0.    0.    0.
    0.    0.    0.   11.    0.    8.    0.    0.    0.    0.    0.    0.]"	2.5
1ai5	"[1731.  227.  851.    0.    0.    0.    0.    0.    0.  421.   58.  217.
    0.    0.    0.    0.    0.    0.  494.   69.  248.    0.    0.    0.
    0.    0.    0.   11.    3.    8.    0.    0.    0.    0.    0.    0.]"	3.72
1ai7	"[1398.    0.  252.    0.    0.    0.    0.    0.    0.  357.    0.   62.
    0.    0.    0.    0.    0.    0.  410.    0.   69.    0.    0.    0.
    0.    0.    0.   13.    0.    3.    0.    0.    0.    0.    0.    0.]"	4.09
1aid	"[3.325e+03 1.440e+02 1.490e+02 1.370e+02 0.000e+00 3.080e+02 1.460e+02
 0.000e+00 0.000e+00 9.200e+02 3.700e+01 4.200e+01 3.700e+01 0.000e+00
 8.600e+01 3.500e+01 0.000e+00 0.000e+00 9.840e+02 4.000e+01 4.700e+01
 3.700e+01 0.000e+00 8.900e+01 3.600e+01 0.000e+00 0.000e+00 9.000e+00
 0.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00
 0.000e+00]"	4.82
1aj7	"[2.095e+03 2.560e+02 1.310e+03 0.000e+00 1.900e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 5.410e+02 6.400e+01 3.250e+02 0.000e+00 4.900e+01
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 5.190e+02 5.700e+01 3.260e+02
 0.000e+00 4.800e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.300e+01
 3.000e+00 1.000e+01 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	3.87
1ajn	"[1743.  241.  872.    0.    0.    0.    0.    0.    0.  424.   57.  216.
    0.    0.    0.    0.    0.    0.  499.   66.  250.    0.    0.    0.
    0.    0.    0.   11.    2.    7.    0.    0.    0.    0.    0.    0.]"	2.63
1ajp	"[1769.    0.  839.    0.    0.    0.    0.    0.    0.  433.    0.  204.
    0.    0.    0.    0.    0.    0.  508.    0.  241.    0.    0.    0.
    0.    0.    0.   12.    0.    6.    0.    0.    0.    0.    0.    0.]"	2.23
1ajq	"[1.366e+03 0.000e+00 4.090e+02 0.000e+00 0.000e+00 2.300e+02 0.000e+00
 0.000e+00 0.000e+00 3.540e+02 0.000e+00 1.130e+02 0.000e+00 0.000e+00
 5.300e+01 0.000e+00 0.000e+00 0.000e+00 3.930e+02 0.000e+00 1.200e+02
 0.000e+00 0.000e+00 6.500e+01 0.000e+00 0.000e+00 0.000e+00 1.200e+01
 0.000e+00 3.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	4.31
1ajv	"[5.807e+03 3.980e+02 1.183e+03 0.000e+00 0.000e+00 1.940e+02 0.000e+00
 0.000e+00 0.000e+00 1.632e+03 1.160e+02 3.220e+02 0.000e+00 0.000e+00
 5.500e+01 0.000e+00 0.000e+00 0.000e+00 1.719e+03 1.220e+02 3.530e+02
 0.000e+00 0.000e+00 6.300e+01 0.000e+00 0.000e+00 0.000e+00 5.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.72
1ajx	"[5909.  379.  970.    0.    0.    0.    0.    0.    0. 1640.  114.  257.
    0.    0.    0.    0.    0.    0. 1781.  123.  282.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.]"	7.91
1alw	"[1491.    0.  273.    0.    0.  100.    0.    0.    0.  348.    0.   67.
    0.    0.   27.    0.    0.    0.  299.    0.   58.    0.    0.   26.
    0.    0.    0.    5.    0.    0.    0.    0.    0.    0.    0.    0.]"	6.52
1amk	"[4.150e+02 0.000e+00 1.154e+03 0.000e+00 1.880e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.130e+02 0.000e+00 3.150e+02 0.000e+00 4.900e+01
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.280e+02 0.000e+00 3.440e+02
 0.000e+00 5.000e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00
 0.000e+00 6.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	4.3
1amw	"[1796.  968. 1514.    0.  297.    0.    0.    0.    0.  453.  250.  374.
    0.   68.    0.    0.    0.    0.  545.  294.  450.    0.   92.    0.
    0.    0.    0.   11.    5.   13.    0.    3.    0.    0.    0.    0.]"	4.54
1apv	"[3782.  634.  963.  359.    0.    0.    0.    0.    0.  968.  157.  235.
   83.    0.    0.    0.    0.    0. 1454.  237.  359.  116.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.]"	9.0
1atl	"[2.499e+03 1.360e+02 6.350e+02 0.000e+00 0.000e+00 1.310e+02 0.000e+00
 0.000e+00 0.000e+00 7.120e+02 4.100e+01 1.810e+02 0.000e+00 0.000e+00
 3.900e+01 0.000e+00 0.000e+00 0.000e+00 7.560e+02 4.800e+01 1.930e+02
 0.000e+00 0.000e+00 3.900e+01 0.000e+00 0.000e+00 0.000e+00 3.600e+01
 1.000e+00 1.100e+01 0.000e+00 0.000e+00 2.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	6.28
1atr	"[1729.  829. 1837.    0.  375.    0.    0.    0.    0.  508.  243.  532.
    0.  108.    0.    0.    0.    0.  586.  269.  665.    0.  137.    0.
    0.    0.    0.   10.    5.   14.    0.    4.    0.    0.    0.    0.]"	6.96
1avn	"[734. 478.   0.   0.   0.   0.   0.   0.   0. 196. 122.   0.   0.   0.
   0.   0.   0.   0. 167. 106.   0.   0.   0.   0.   0.   0.   0.   2.
   1.   0.   0.   0.   0.   0.   0.   0.]"	3.9
1ax0	"[1111.  128.  841.    0.    0.    0.    0.    0.    0.  275.   33.  215.
    0.    0.    0.    0.    0.    0.  364.   42.  274.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.]"	3.13
1azm	"[798. 856. 687.   0.   0. 458.   0.   0.   0. 235. 246. 196.   0.   0.
 131.   0.   0.   0. 203. 219. 175.   0.   0. 116.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.]"	6.1
1b05	"[3.310e+03 1.102e+03 9.040e+02 0.000e+00 0.000e+00 2.250e+02 0.000e+00
 0.000e+00 0.000e+00 8.610e+02 2.880e+02 2.320e+02 0.000e+00 0.000e+00
 5.900e+01 0.000e+00 0.000e+00 0.000e+00 1.019e+03 3.500e+02 2.700e+02
 0.000e+00 0.000e+00 6.500e+01 0.000e+00 0.000e+00 0.000e+00 3.100e+01
 1.100e+01 8.000e+00 0.000e+00 0.000e+00 3.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.12
1b0h	"[5536. 1103.  894.    0.    0.    0.    0.    0.    0. 1445.  286.  232.
    0.    0.    0.    0.    0.    0. 1685.  345.  268.    0.    0.    0.
    0.    0.    0.   59.   11.    8.    0.    0.    0.    0.    0.    0.]"	6.7
1b1h	"[4740. 1086.  890.    0.    0.    0.    0.    0.    0. 1261.  290.  234.
    0.    0.    0.    0.    0.    0. 1472.  346.  267.    0.    0.    0.
    0.    0.    0.   43.   11.    8.    0.    0.    0.    0.    0.    0.]"	7.03
1b2h	"[3747. 1318.  909.    0.    0.    0.    0.    0.    0.  983.  350.  233.
    0.    0.    0.    0.    0.    0. 1139.  415.  272.    0.    0.    0.
    0.    0.    0.   37.   13.    8.    0.    0.    0.    0.    0.    0.]"	4.54
1b32	"[3.755e+03 1.110e+03 9.030e+02 0.000e+00 0.000e+00 2.270e+02 0.000e+00
 0.000e+00 0.000e+00 9.830e+02 2.850e+02 2.360e+02 0.000e+00 0.000e+00
 6.100e+01 0.000e+00 0.000e+00 0.000e+00 1.158e+03 3.500e+02 2.720e+02
 0.000e+00 0.000e+00 6.700e+01 0.000e+00 0.000e+00 0.000e+00 3.600e+01
 1.100e+01 8.000e+00 0.000e+00 0.000e+00 3.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.1
1b38	"[1934. 1022. 2443.    0.  586.    0.    0.    0.    0.  483.  258.  611.
    0.  142.    0.    0.    0.    0.  511.  256.  681.    0.  163.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.]"	6.6
1b3f	"[3968. 1549.  896.    0.    0.    0.    0.    0.    0. 1041.  411.  232.
    0.    0.    0.    0.    0.    0. 1222.  484.  272.    0.    0.    0.
    0.    0.    0.   41.   16.    8.    0.    0.    0.    0.    0.    0.]"	6.89
1b3g	"[3949. 1101.  890.    0.    0.    0.    0.    0.    0. 1032.  293.  231.
    0.    0.    0.    0.    0.    0. 1212.  347.  267.    0.    0.    0.
    0.    0.    0.   39.   11.    8.    0.    0.    0.    0.    0.    0.]"	6.7
1b3h	"[4577. 1097.  900.    0.    0.    0.    0.    0.    0. 1212.  290.  233.
    0.    0.    0.    0.    0.    0. 1408.  348.  271.    0.    0.    0.
    0.    0.    0.   46.   11.    8.    0.    0.    0.    0.    0.    0.]"	6.21
1b3l	"[3008. 1068.  873.    0.    0.    0.    0.    0.    0.  787.  282.  232.
    0.    0.    0.    0.    0.    0.  928.  332.  257.    0.    0.    0.
    0.    0.    0.   29.   11.    8.    0.    0.    0.    0.    0.    0.]"	5.89
1b40	"[4661. 1118.  904.    0.    0.    0.    0.    0.    0. 1221.  290.  234.
    0.    0.    0.    0.    0.    0. 1422.  351.  273.    0.    0.    0.
    0.    0.    0.   46.   11.    8.    0.    0.    0.    0.    0.    0.]"	7.28
1b46	"[3751. 1121.  907.    0.    0.    0.    0.    0.    0.  973.  283.  232.
    0.    0.    0.    0.    0.    0. 1152.  348.  269.    0.    0.    0.
    0.    0.    0.   36.   11.    8.    0.    0.    0.    0.    0.    0.]"	5.28
1b4h	"[3534. 1331.  897.    0.    0.    0.    0.    0.    0.  918.  343.  233.
    0.    0.    0.    0.    0.    0. 1083.  417.  270.    0.    0.    0.
    0.    0.    0.   34.   14.    8.    0.    0.    0.    0.    0.    0.]"	5.46
1b4z	"[3550. 1110. 1349.    0.    0.    0.    0.    0.    0.  913.  288.  357.
    0.    0.    0.    0.    0.    0. 1084.  343.  407.    0.    0.    0.
    0.    0.    0.   35.   11.   14.    0.    0.    0.    0.    0.    0.]"	5.23
1b51	"[3273. 1095. 1122.    0.    0.    0.    0.    0.    0.  853.  287.  286.
    0.    0.    0.    0.    0.    0. 1013.  346.  332.    0.    0.    0.
    0.    0.    0.   31.   11.   11.    0.    0.    0.    0.    0.    0.]"	7.37
1b52	"[3483. 1083. 1088.    0.    0.    0.    0.    0.    0.  910.  289.  284.
    0.    0.    0.    0.    0.    0. 1062.  339.  333.    0.    0.    0.
    0.    0.    0.   34.   11.   10.    0.    0.    0.    0.    0.    0.]"	7.12
1b55	"[ 719.    0. 2293.    0.  523.    0.    0.    0.    0.  213.    0.  645.
    0.  146.    0.    0.    0.    0.  205.    0.  621.    0.  143.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.]"	7.4
1b57	"[ 389.  196. 1154.    0.  180.    0.    0.    0.    0.  120.   59.  351.
    0.   55.    0.    0.    0.    0.  137.   71.  395.    0.   61.    0.
    0.    0.    0.    5.    3.   10.    0.    2.    0.    0.    0.    0.]"	8.0
1b58	"[4556. 1084. 1098.    0.    0.    0.    0.    0.    0. 1201.  283.  284.
    0.    0.    0.    0.    0.    0. 1390.  343.  335.    0.    0.    0.
    0.    0.    0.   47.   11.   10.    0.    0.    0.    0.    0.    0.]"	6.59
1b5h	"[3318. 1335.  899.    0.    0.    0.    0.    0.    0.  861.  350.  234.
    0.    0.    0.    0.    0.    0. 1021.  415.  271.    0.    0.    0.
    0.    0.    0.   31.   14.    8.    0.    0.    0.    0.    0.    0.]"	6.01
1b5i	"[3531. 1326. 1126.    0.    0.    0.    0.    0.    0.  923.  344.  295.
    0.    0.    0.    0.    0.    0. 1077.  412.  337.    0.    0.    0.
    0.    0.    0.   34.   14.   11.    0.    0.    0.    0.    0.    0.]"	7.05
1b5j	"[3763. 1334. 1135.    0.    0.    0.    0.    0.    0.  977.  347.  298.
    0.    0.    0.    0.    0.    0. 1154.  411.  341.    0.    0.    0.
    0.    0.    0.   37.   14.   11.    0.    0.    0.    0.    0.    0.]"	7.43
1b6h	"[3765. 1108.  907.    0.    0.    0.    0.    0.    0.  984.  295.  235.
    0.    0.    0.    0.    0.    0. 1147.  348.  267.    0.    0.    0.
    0.    0.    0.   38.   11.    8.    0.    0.    0.    0.    0.    0.]"	7.82
1b6j	"[5.666e+03 1.136e+03 1.329e+03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.569e+03 3.180e+02 3.640e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.673e+03 3.390e+02 3.950e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 3.000e+00
 2.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.92
1b6k	"[6003.  867. 1094.    0.    0.    0.    0.    0.    0. 1669.  234.  301.
    0.    0.    0.    0.    0.    0. 1768.  257.  340.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.]"	8.74
1b6l	"[4879.  873. 1051.    0.    0.    0.    0.    0.    0. 1347.  247.  287.
    0.    0.    0.    0.    0.    0. 1475.  264.  323.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.]"	8.3
1b7h	"[3971. 1117.  903.    0.    0.    0.    0.    0.    0. 1043.  288.  231.
    0.    0.    0.    0.    0.    0. 1216.  346.  272.    0.    0.    0.
    0.    0.    0.   38.   11.    8.    0.    0.    0.    0.    0.    0.]"	8.02
1b8n	"[2248.  990.  796.    0.    0.    0.    0.    0.    0.  639.  280.  221.
    0.    0.    0.    0.    0.    0.  646.  280.  230.    0.    0.    0.
    0.    0.    0.   23.   14.    9.    0.    0.    0.    0.    0.    0.]"	10.52
1b8o	"[2230.  796.  802.    0.    0.    0.    0.    0.    0.  640.  229.  220.
    0.    0.    0.    0.    0.    0.  648.  233.  232.    0.    0.    0.
    0.    0.    0.   25.   12.   10.    0.    0.    0.    0.    0.    0.]"	10.64
1b8y	"[3.418e+03 3.720e+02 6.960e+02 0.000e+00 0.000e+00 1.680e+02 0.000e+00
 0.000e+00 0.000e+00 8.510e+02 8.700e+01 1.710e+02 0.000e+00 0.000e+00
 4.400e+01 0.000e+00 0.000e+00 0.000e+00 8.890e+02 9.100e+01 1.740e+02
 0.000e+00 0.000e+00 4.500e+01 0.000e+00 0.000e+00 0.000e+00 1.900e+01
 2.000e+00 4.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.85
1b9j	"[3954. 1105.  895.    0.    0.    0.    0.    0.    0. 1026.  283.  233.
    0.    0.    0.    0.    0.    0. 1210.  345.  269.    0.    0.    0.
    0.    0.    0.   41.   11.    8.    0.    0.    0.    0.    0.    0.]"	5.96
1bai	"[6.040e+03 1.526e+03 1.439e+03 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.807e+03 4.730e+02 4.200e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.830e+03 4.650e+02 4.490e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.000e+00
 2.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.7
1bcd	"[244. 240. 461. 717.   0. 233.   0.   0.   0.  67.  68. 129. 201.   0.
  69.   0.   0.   0.  63.  63. 113. 177.   0.  57.   0.   0.   0.   1.
   1.   2.   3.   0.   1.   0.   0.   0.]"	8.7
1bcu	"[2007.  437.    0.    0.    0.    0.    0.    0.    0.  561.  120.    0.
    0.    0.    0.    0.    0.    0.  660.  147.    0.    0.    0.    0.
    0.    0.    0.   57.   12.    0.    0.    0.    0.    0.    0.    0.]"	3.28
1bdq	"[5.205e+03 6.810e+02 7.540e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.471e+03 1.900e+02 2.050e+02 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.529e+03 2.010e+02 2.260e+02
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	6.34
1bgq	"[3.073e+03 0.000e+00 1.083e+03 0.000e+00 0.000e+00 0.000e+00 2.140e+02
 0.000e+00 0.000e+00 7.890e+02 0.000e+00 2.790e+02 0.000e+00 0.000e+00
 0.000e+00 5.200e+01 0.000e+00 0.000e+00 9.740e+02 0.000e+00 3.260e+02
 0.000e+00 0.000e+00 0.000e+00 5.900e+01 0.000e+00 0.000e+00 1.800e+01
 0.000e+00 6.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e+00 0.000e+00
 0.000e+00]"	8.57
1bhf	"[2812.  354. 1085.    0.    0.    0.    0.    0.    0.  838.  112.  303.
    0.    0.    0.    0.    0.    0.  781.   94.  307.    0.    0.    0.
    0.    0.    0.   21.    4.    9.    0.    0.    0.    0.    0.    0.]"	4.38
1bhx	"[3019. 1033.  536.    0.    0.  294.    0.    0.    0.  801.  283.  139.
    0.    0.   74.    0.    0.    0.  904.  331.  168.    0.    0.   82.
    0.    0.    0.   60.   25.   12.    0.    0.    7.    0.    0.    0.]"	6.84
1bju	"[1974.  647.  133.    0.    0.    0.   91.    0.    0.  573.  189.   38.
    0.    0.    0.   26.    0.    0.  682.  225.   46.    0.    0.    0.
   31.    0.    0.   61.   16.    5.    0.    0.    0.    3.    0.    0.]"	4.8
1bjv	"[2463.  661.  223.    0.    0.    0.    0.    0.    0.  699.  192.   66.
    0.    0.    0.    0.    0.    0.  841.  230.   77.    0.    0.    0.
    0.    0.    0.   76.   16.    7.    0.    0.    0.    0.    0.    0.]"	5.54
1bm7	"[2.771e+03 2.010e+02 3.560e+02 6.370e+02 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 7.100e+02 5.000e+01 9.900e+01 1.570e+02 0.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.830e+02 6.500e+01 1.150e+02
 2.020e+02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.800e+01
 2.000e+00 4.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"	7.52
1bma	"[3367.  521.  411.  585.    0.    0.    0.    0.    0.  953.  147.  109.
  159.    0.    0.    0.    0.    0. 1037.  168.  132.  184.    0.    0.
    0.    0.    0.   77.   15.   11.   13.    0.    0.    0.    0.    0.]"	4.59
